state,type,date,staff
Perlis,nurse_community,2018-01-01,330
Perlis,nurse_community,2019-01-01,333
Perlis,nurse_community,2020-01-01,317
Perlis,nurse_community,2021-01-01,298
Perlis,nurse_community,2022-01-01,323
Pulau Pinang,all,2014-01-01,6427
Pulau Pinang,all,2015-01-01,6505
Pulau Pinang,all,2016-01-01,6769
Pulau Pinang,all,2017-01-01,7506
Pulau Pinang,all,2018-01-01,7651
Pulau Pinang,all,2019-01-01,7511
Pulau Pinang,all,2020-01-01,10600
Pulau Pinang,all,2021-01-01,8137
Pulau Pinang,all,2022-01-01,8192
Pulau Pinang,dentist,2014-01-01,228
Pulau Pinang,dentist,2015-01-01,239
Pulau Pinang,dentist,2016-01-01,276
Pulau Pinang,dentist,2017-01-01,357
Pulau Pinang,dentist,2018-01-01,420
Pulau Pinang,dentist,2019-01-01,421
Pulau Pinang,dentist,2020-01-01,437
Pulau Pinang,dentist,2021-01-01,438
Pulau Pinang,dentist,2022-01-01,431
Pulau Pinang,doctor,2014-01-01,2178
Pulau Pinang,doctor,2015-01-01,1831
Pulau Pinang,doctor,2016-01-01,1939
Pulau Pinang,doctor,2017-01-01,2581
Pulau Pinang,doctor,2018-01-01,2741
Pulau Pinang,doctor,2019-01-01,2543
Pulau Pinang,doctor,2020-01-01,3158
Pulau Pinang,doctor,2021-01-01,3024
Pulau Pinang,doctor,2022-01-01,2996
Pulau Pinang,nurse,2014-01-01,2993
Pulau Pinang,nurse,2015-01-01,3393
Pulau Pinang,nurse,2016-01-01,3542
Pulau Pinang,nurse,2017-01-01,3593
Pulau Pinang,nurse,2018-01-01,3531
Pulau Pinang,nurse,2019-01-01,3599
Pulau Pinang,nurse,2020-01-01,6081
Pulau Pinang,nurse,2021-01-01,3816
Pulau Pinang,nurse,2022-01-01,3846
Pulau Pinang,nurse_community,2014-01-01,1028
Pulau Pinang,nurse_community,2015-01-01,1042
Pulau Pinang,nurse_community,2016-01-01,1012
Pulau Pinang,nurse_community,2017-01-01,975
Pulau Pinang,nurse_community,2018-01-01,959
Pulau Pinang,nurse_community,2019-01-01,948
Pulau Pinang,nurse_community,2020-01-01,924
Pulau Pinang,nurse_community,2021-01-01,859
Pulau Pinang,nurse_community,2022-01-01,919
Sabah,all,2014-01-01,12817
Sabah,all,2015-01-01,13772
Sabah,all,2016-01-01,14084
Sabah,all,2017-01-01,14368
Sabah,all,2018-01-01,15072
Sabah,all,2019-01-01,15432
Sabah,all,2020-01-01,13669
Sabah,all,2021-01-01,16125
Sabah,all,2022-01-01,16345
Sabah,dentist,2014-01-01,244
Sabah,dentist,2015-01-01,280
Sabah,dentist,2016-01-01,308
Sabah,dentist,2017-01-01,309
Sabah,dentist,2018-01-01,327
Sabah,dentist,2019-01-01,375
Sabah,dentist,2020-01-01,401
Sabah,dentist,2021-01-01,453
Sabah,dentist,2022-01-01,426
Sabah,doctor,2014-01-01,2112
Sabah,doctor,2015-01-01,2558
Sabah,doctor,2016-01-01,2685
Sabah,doctor,2017-01-01,3205
Sabah,doctor,2018-01-01,4006
Sabah,doctor,2019-01-01,4212
Sabah,doctor,2020-01-01,3916
Sabah,doctor,2021-01-01,4317
Sabah,doctor,2022-01-01,4193
Sabah,nurse,2014-01-01,6547
Sabah,nurse,2015-01-01,7012
Sabah,nurse,2016-01-01,7217
Sabah,nurse,2017-01-01,7187
Sabah,nurse,2018-01-01,7115
Sabah,nurse,2019-01-01,7192
Sabah,nurse,2020-01-01,5888
Sabah,nurse,2021-01-01,8212
Sabah,nurse,2022-01-01,8151
Sabah,nurse_community,2014-01-01,3914
Sabah,nurse_community,2015-01-01,3922
Sabah,nurse_community,2016-01-01,3874
Sabah,nurse_community,2017-01-01,3667
Sabah,nurse_community,2018-01-01,3624
Sabah,nurse_community,2019-01-01,3653
Sabah,nurse_community,2020-01-01,3464
Sabah,nurse_community,2021-01-01,3143
Sabah,nurse_community,2022-01-01,3575
Sarawak,all,2014-01-01,10921
Sarawak,all,2015-01-01,11090
Sarawak,all,2016-01-01,12152
Sarawak,all,2017-01-01,13190
Sarawak,all,2018-01-01,12446
Sarawak,all,2019-01-01,12373
Sarawak,all,2020-01-01,15138
Sarawak,all,2021-01-01,12725
Sarawak,all,2022-01-01,13374
Sarawak,dentist,2014-01-01,302
Sarawak,dentist,2015-01-01,309
Sarawak,dentist,2016-01-01,359
Sarawak,dentist,2017-01-01,404
Sarawak,dentist,2018-01-01,407
Sarawak,dentist,2019-01-01,421
Sarawak,dentist,2020-01-01,439
Sarawak,dentist,2021-01-01,450
Sarawak,dentist,2022-01-01,441
Sarawak,doctor,2014-01-01,2250
Sarawak,doctor,2015-01-01,2203
Sarawak,doctor,2016-01-01,3061
Sarawak,doctor,2017-01-01,4179
Sarawak,doctor,2018-01-01,3672
Sarawak,doctor,2019-01-01,3567
Sarawak,doctor,2020-01-01,4137
Sarawak,doctor,2021-01-01,3656
Sarawak,doctor,2022-01-01,4005
Sarawak,nurse,2014-01-01,5216
Sarawak,nurse,2015-01-01,5584
Sarawak,nurse,2016-01-01,5705
Sarawak,nurse,2017-01-01,5782
Sarawak,nurse,2018-01-01,5740
Sarawak,nurse,2019-01-01,5805
Sarawak,nurse,2020-01-01,8163
Sarawak,nurse,2021-01-01,6606
Sarawak,nurse,2022-01-01,6645
Sarawak,nurse_community,2014-01-01,3153
Sarawak,nurse_community,2015-01-01,2994
Sarawak,nurse_community,2016-01-01,3027
Sarawak,nurse_community,2017-01-01,2825
Sarawak,nurse_community,2018-01-01,2627
Sarawak,nurse_community,2019-01-01,2580
Sarawak,nurse_community,2020-01-01,2399
Sarawak,nurse_community,2021-01-01,2013
Sarawak,nurse_community,2022-01-01,2283
Selangor,all,2014-01-01,15450
Selangor,all,2015-01-01,16474
Selangor,all,2016-01-01,17510
Selangor,all,2017-01-01,19883
Selangor,all,2018-01-01,20882
Selangor,all,2019-01-01,20624
Selangor,all,2020-01-01,16461
Selangor,all,2021-01-01,23001
Selangor,all,2022-01-01,24009
Selangor,dentist,2014-01-01,360
Selangor,dentist,2015-01-01,401
Selangor,dentist,2016-01-01,469
Selangor,dentist,2017-01-01,660
Selangor,dentist,2018-01-01,776
Selangor,dentist,2019-01-01,839
Selangor,dentist,2020-01-01,911
Selangor,dentist,2021-01-01,940
Selangor,dentist,2022-01-01,941
Selangor,doctor,2014-01-01,5040
Selangor,doctor,2015-01-01,5175
Selangor,doctor,2016-01-01,5646
Selangor,doctor,2017-01-01,7587
Selangor,doctor,2018-01-01,7881
Selangor,doctor,2019-01-01,8119
Selangor,doctor,2020-01-01,10063
Selangor,doctor,2021-01-01,9700
Selangor,doctor,2022-01-01,10374
Selangor,nurse,2014-01-01,7327
Selangor,nurse,2015-01-01,8183
Selangor,nurse,2016-01-01,8739
Selangor,nurse,2017-01-01,9086
Selangor,nurse,2018-01-01,9698
Selangor,nurse,2019-01-01,9200
Selangor,nurse,2020-01-01,3093
Selangor,nurse,2021-01-01,10116
Selangor,nurse,2022-01-01,10376
Selangor,nurse_community,2014-01-01,2723
Selangor,nurse_community,2015-01-01,2715
Selangor,nurse_community,2016-01-01,2656
Selangor,nurse_community,2017-01-01,2550
Selangor,nurse_community,2018-01-01,2527
Selangor,nurse_community,2019-01-01,2466
Selangor,nurse_community,2020-01-01,2394
Selangor,nurse_community,2021-01-01,2245
Selangor,nurse_community,2022-01-01,2318
Terengganu,all,2014-01-01,5510
Terengganu,all,2015-01-01,5719
Terengganu,all,2016-01-01,5964
Terengganu,all,2017-01-01,6431
Terengganu,all,2018-01-01,6582
Terengganu,all,2019-01-01,6826
Terengganu,all,2020-01-01,11544
Terengganu,all,2021-01-01,7140
Terengganu,all,2022-01-01,7438
Terengganu,dentist,2014-01-01,232
Terengganu,dentist,2015-01-01,261
Terengganu,dentist,2016-01-01,303
Terengganu,dentist,2017-01-01,370
Terengganu,dentist,2018-01-01,448
Terengganu,dentist,2019-01-01,493
Terengganu,dentist,2020-01-01,521
Terengganu,dentist,2021-01-01,550
Terengganu,dentist,2022-01-01,524
Terengganu,doctor,2014-01-01,1278
Terengganu,doctor,2015-01-01,1262
Terengganu,doctor,2016-01-01,1399
Terengganu,doctor,2017-01-01,1691
Terengganu,doctor,2018-01-01,1805
Terengganu,doctor,2019-01-01,1992
Terengganu,doctor,2020-01-01,2245
Terengganu,doctor,2021-01-01,2043
Terengganu,doctor,2022-01-01,2119
Terengganu,nurse,2014-01-01,2582
Terengganu,nurse,2015-01-01,2772
Terengganu,nurse,2016-01-01,2855
Terengganu,nurse,2017-01-01,2949
Terengganu,nurse,2018-01-01,2908
Terengganu,nurse,2019-01-01,2918
Terengganu,nurse,2020-01-01,7424
Terengganu,nurse,2021-01-01,3197
Terengganu,nurse,2022-01-01,3370
Terengganu,nurse_community,2014-01-01,1418
Terengganu,nurse_community,2015-01-01,1424
Terengganu,nurse_community,2016-01-01,1407
Terengganu,nurse_community,2017-01-01,1421
Terengganu,nurse_community,2018-01-01,1421
Terengganu,nurse_community,2019-01-01,1423
Terengganu,nurse_community,2020-01-01,1354
Terengganu,nurse_community,2021-01-01,1350
Terengganu,nurse_community,2022-01-01,1425
W.P. Kuala Lumpur,all,2014-01-01,8394
W.P. Kuala Lumpur,all,2015-01-01,12278
W.P. Kuala Lumpur,all,2016-01-01,13140
W.P. Kuala Lumpur,all,2017-01-01,12702
W.P. Kuala Lumpur,all,2018-01-01,15492
W.P. Kuala Lumpur,all,2019-01-01,17299
W.P. Kuala Lumpur,all,2020-01-01,15374
W.P. Kuala Lumpur,all,2021-01-01,18045
W.P. Kuala Lumpur,all,2022-01-01,18941
W.P. Kuala Lumpur,dentist,2014-01-01,482
W.P. Kuala Lumpur,dentist,2015-01-01,453
W.P. Kuala Lumpur,dentist,2016-01-01,497
W.P. Kuala Lumpur,dentist,2017-01-01,605
W.P. Kuala Lumpur,dentist,2018-01-01,650
W.P. Kuala Lumpur,dentist,2019-01-01,708
W.P. Kuala Lumpur,dentist,2020-01-01,754
W.P. Kuala Lumpur,dentist,2021-01-01,772
W.P. Kuala Lumpur,dentist,2022-01-01,854
W.P. Kuala Lumpur,doctor,2014-01-01,2772
W.P. Kuala Lumpur,doctor,2015-01-01,2480
W.P. Kuala Lumpur,doctor,2016-01-01,2870
W.P. Kuala Lumpur,doctor,2017-01-01,3745
W.P. Kuala Lumpur,doctor,2018-01-01,4738
W.P. Kuala Lumpur,doctor,2019-01-01,5593
W.P. Kuala Lumpur,doctor,2020-01-01,7054
W.P. Kuala Lumpur,doctor,2021-01-01,6967
W.P. Kuala Lumpur,doctor,2022-01-01,7331
W.P. Kuala Lumpur,nurse,2014-01-01,4392
W.P. Kuala Lumpur,nurse,2015-01-01,8621
W.P. Kuala Lumpur,nurse,2016-01-01,9052
W.P. Kuala Lumpur,nurse,2017-01-01,7740
W.P. Kuala Lumpur,nurse,2018-01-01,9261
W.P. Kuala Lumpur,nurse,2019-01-01,10261
W.P. Kuala Lumpur,nurse,2020-01-01,6959
W.P. Kuala Lumpur,nurse,2021-01-01,9772
W.P. Kuala Lumpur,nurse,2022-01-01,10170
W.P. Kuala Lumpur,nurse_community,2014-01-01,748
W.P. Kuala Lumpur,nurse_community,2015-01-01,724
W.P. Kuala Lumpur,nurse_community,2016-01-01,721
W.P. Kuala Lumpur,nurse_community,2017-01-01,612
W.P. Kuala Lumpur,nurse_community,2018-01-01,843
W.P. Kuala Lumpur,nurse_community,2019-01-01,737
W.P. Kuala Lumpur,nurse_community,2020-01-01,607
W.P. Kuala Lumpur,nurse_community,2021-01-01,534
W.P. Kuala Lumpur,nurse_community,2022-01-01,586
W.P. Labuan,all,2014-01-01,381
W.P. Labuan,all,2015-01-01,409
W.P. Labuan,all,2016-01-01,414
W.P. Labuan,all,2017-01-01,434
W.P. Labuan,all,2018-01-01,475
W.P. Labuan,all,2019-01-01,497
W.P. Labuan,all,2020-01-01,463
W.P. Labuan,all,2021-01-01,521
W.P. Labuan,all,2022-01-01,601
W.P. Labuan,dentist,2014-01-01,6
W.P. Labuan,dentist,2015-01-01,10
W.P. Labuan,dentist,2016-01-01,17
W.P. Labuan,dentist,2017-01-01,22
W.P. Labuan,dentist,2018-01-01,23
W.P. Labuan,dentist,2019-01-01,35
W.P. Labuan,dentist,2020-01-01,29
W.P. Labuan,dentist,2021-01-01,31
W.P. Labuan,dentist,2022-01-01,30
W.P. Labuan,doctor,2014-01-01,53
W.P. Labuan,doctor,2015-01-01,57
W.P. Labuan,doctor,2016-01-01,57
W.P. Labuan,doctor,2017-01-01,71
W.P. Labuan,doctor,2018-01-01,110
W.P. Labuan,doctor,2019-01-01,116
W.P. Labuan,doctor,2020-01-01,105
W.P. Labuan,doctor,2021-01-01,103
W.P. Labuan,doctor,2022-01-01,102
W.P. Labuan,nurse,2014-01-01,211
W.P. Labuan,nurse,2015-01-01,230
W.P. Labuan,nurse,2016-01-01,231
W.P. Labuan,nurse,2017-01-01,230
W.P. Labuan,nurse,2018-01-01,230
W.P. Labuan,nurse,2019-01-01,232
W.P. Labuan,nurse,2020-01-01,225
W.P. Labuan,nurse,2021-01-01,284
W.P. Labuan,nurse,2022-01-01,359
W.P. Labuan,nurse_community,2014-01-01,111
W.P. Labuan,nurse_community,2015-01-01,112
W.P. Labuan,nurse_community,2016-01-01,109
W.P. Labuan,nurse_community,2017-01-01,111
W.P. Labuan,nurse_community,2018-01-01,112
W.P. Labuan,nurse_community,2019-01-01,114
W.P. Labuan,nurse_community,2020-01-01,104
W.P. Labuan,nurse_community,2021-01-01,103
W.P. Labuan,nurse_community,2022-01-01,110
W.P. Putrajaya,all,2014-01-01,7836
W.P. Putrajaya,all,2015-01-01,7936
W.P. Putrajaya,all,2016-01-01,7975
W.P. Putrajaya,all,2017-01-01,7152
W.P. Putrajaya,all,2018-01-01,5677
W.P. Putrajaya,all,2019-01-01,7248
W.P. Putrajaya,all,2020-01-01,3143
W.P. Putrajaya,all,2021-01-01,3129
W.P. Putrajaya,all,2022-01-01,3552
W.P. Putrajaya,dentist,2014-01-01,59
W.P. Putrajaya,dentist,2015-01-01,69
W.P. Putrajaya,dentist,2016-01-01,75
W.P. Putrajaya,dentist,2017-01-01,98
W.P. Putrajaya,dentist,2018-01-01,110
W.P. Putrajaya,dentist,2019-01-01,109
W.P. Putrajaya,dentist,2020-01-01,123
W.P. Putrajaya,dentist,2021-01-01,115
W.P. Putrajaya,dentist,2022-01-01,128
W.P. Putrajaya,doctor,2014-01-01,4373
W.P. Putrajaya,doctor,2015-01-01,4375
W.P. Putrajaya,doctor,2016-01-01,4449
W.P. Putrajaya,doctor,2017-01-01,4261
W.P. Putrajaya,doctor,2018-01-01,3776
W.P. Putrajaya,doctor,2019-01-01,5104
W.P. Putrajaya,doctor,2020-01-01,1383
W.P. Putrajaya,doctor,2021-01-01,1348
W.P. Putrajaya,doctor,2022-01-01,2023
W.P. Putrajaya,nurse,2014-01-01,2867
W.P. Putrajaya,nurse,2015-01-01,2952
W.P. Putrajaya,nurse,2016-01-01,2875
W.P. Putrajaya,nurse,2017-01-01,2312
W.P. Putrajaya,nurse,2018-01-01,1551
W.P. Putrajaya,nurse,2019-01-01,1675
W.P. Putrajaya,nurse,2020-01-01,1414
W.P. Putrajaya,nurse,2021-01-01,1471
W.P. Putrajaya,nurse,2022-01-01,1177
W.P. Putrajaya,nurse_community,2014-01-01,537
W.P. Putrajaya,nurse_community,2015-01-01,540
W.P. Putrajaya,nurse_community,2016-01-01,576
W.P. Putrajaya,nurse_community,2017-01-01,481
W.P. Putrajaya,nurse_community,2018-01-01,240
W.P. Putrajaya,nurse_community,2019-01-01,360
W.P. Putrajaya,nurse_community,2020-01-01,223
W.P. Putrajaya,nurse_community,2021-01-01,195
W.P. Putrajaya,nurse_community,2022-01-01,224
